Date,Team,Season,Opp,R,RA,W/L,Rank
"Monday, Apr 6",TOR,2015,NYY,6.0,1.0,W,1.0
"Wednesday, Apr 8",TOR,2015,NYY,3.0,4.0,L,2.0
"Thursday, Apr 9",TOR,2015,NYY,6.0,3.0,W,1.0
"Friday, Apr 10",TOR,2015,BAL,12.0,5.0,W,1.0
"Saturday, Apr 11",TOR,2015,BAL,1.0,7.0,L,2.0
"Sunday, Apr 12",TOR,2015,BAL,10.0,7.0,W,1.0
"Monday, Apr 13",TOR,2015,TBR,1.0,2.0,L,2.0
"Tuesday, Apr 14",TOR,2015,TBR,2.0,3.0,L,3.0
"Wednesday, Apr 15",TOR,2015,TBR,12.0,7.0,W,2.0
"Thursday, Apr 16",TOR,2015,TBR,2.0,4.0,L,4.0
"Friday, Apr 17",TOR,2015,ATL,7.0,8.0,L,4.0
"Saturday, Apr 18",TOR,2015,ATL,6.0,5.0,W-wo,3.0
"Sunday, Apr 19",TOR,2015,ATL,2.0,5.0,L,4.0
"Tuesday, Apr 21",TOR,2015,BAL,13.0,6.0,W,2.0
"Wednesday, Apr 22",TOR,2015,BAL,4.0,2.0,W,2.0
"Thursday, Apr 23",TOR,2015,BAL,7.0,6.0,W,1.0
"Friday, Apr 24",TOR,2015,TBR,3.0,12.0,L,3.0
"Saturday, Apr 25",TOR,2015,TBR,2.0,4.0,L,4.0
"Sunday, Apr 26",TOR,2015,TBR,1.0,5.0,L,4.0
"Monday, Apr 27",TOR,2015,BOS,5.0,6.0,L-wo,5.0
"Tuesday, Apr 28",TOR,2015,BOS,11.0,8.0,W,4.0
"Wednesday, Apr 29",TOR,2015,BOS,1.0,4.0,L,5.0
"Thursday, Apr 30",TOR,2015,CLE,5.0,1.0,W,5.0
"Friday, May 1",TOR,2015,CLE,4.0,9.0,L,5.0
"Saturday, May 2",TOR,2015,CLE,11.0,4.0,W,5.0
"Sunday, May 3",TOR,2015,CLE,7.0,10.0,L,5.0
"Monday, May 4",TOR,2015,NYY,3.0,1.0,W,4.0
"Tuesday, May 5",TOR,2015,NYY,3.0,6.0,L,5.0
"Wednesday, May 6",TOR,2015,NYY,5.0,1.0,W,3.0
"Friday, May 8",TOR,2015,BOS,7.0,0.0,W,3.0
"Saturday, May 9",TOR,2015,BOS,7.0,1.0,W,3.0
"Sunday, May 10",TOR,2015,BOS,3.0,6.0,L,3.0
"Monday, May 11",TOR,2015,BAL,2.0,5.0,L,3.0
"Tuesday, May 12",TOR,2015,BAL,10.0,2.0,W,3.0
"Wednesday, May 13",TOR,2015,BAL,1.0,6.0,L,3.0
"Thursday, May 14",TOR,2015,HOU,4.0,6.0,L,4.0
"Friday, May 15",TOR,2015,HOU,4.0,8.0,L,4.0
"Saturday, May 16",TOR,2015,HOU,5.0,6.0,L,4.0
"Sunday, May 17",TOR,2015,HOU,2.0,4.0,L,5.0
"Monday, May 18",TOR,2015,LAA,10.0,6.0,W,5.0
"Tuesday, May 19",TOR,2015,LAA,2.0,3.0,L,5.0
"Wednesday, May 20",TOR,2015,LAA,3.0,4.0,L,5.0
"Thursday, May 21",TOR,2015,LAA,8.0,4.0,W,5.0
"Friday, May 22",TOR,2015,SEA,3.0,4.0,L,5.0
"Saturday, May 23",TOR,2015,SEA,2.0,3.0,L,5.0
"Sunday, May 24",TOR,2015,SEA,8.0,2.0,W,5.0
"Monday, May 25",TOR,2015,CHW,6.0,0.0,W,5.0
"Tuesday, May 26",TOR,2015,CHW,10.0,9.0,W-wo,4.0
"Wednesday, May 27",TOR,2015,CHW,3.0,5.0,L,4.0
"Friday, May 29",TOR,2015,MIN,6.0,4.0,W,4.0
"Saturday, May 30",TOR,2015,MIN,2.0,3.0,L,4.0
"Sunday, May 31",TOR,2015,MIN,5.0,6.0,L,4.0
"Tuesday, Jun 2 (1)",TOR,2015,WSN,0.0,2.0,L,4.0
"Tuesday, Jun 2 (2)",TOR,2015,WSN,7.0,3.0,W,4.0
"Wednesday, Jun 3",TOR,2015,WSN,8.0,0.0,W,3.0
"Friday, Jun 5",TOR,2015,HOU,6.0,2.0,W,3.0
"Saturday, Jun 6",TOR,2015,HOU,7.0,2.0,W,3.0
"Sunday, Jun 7",TOR,2015,HOU,7.0,6.0,W-wo,3.0
"Monday, Jun 8",TOR,2015,MIA,11.0,3.0,W,3.0
"Tuesday, Jun 9",TOR,2015,MIA,4.0,3.0,W-wo,3.0
"Wednesday, Jun 10",TOR,2015,MIA,7.0,2.0,W,3.0
"Friday, Jun 12",TOR,2015,BOS,13.0,10.0,W,3.0
"Saturday, Jun 13",TOR,2015,BOS,5.0,4.0,W,3.0
"Sunday, Jun 14",TOR,2015,BOS,13.0,5.0,W,3.0
"Monday, Jun 15",TOR,2015,NYM,3.0,4.0,L-wo,3.0
"Tuesday, Jun 16",TOR,2015,NYM,2.0,3.0,L,3.0
"Wednesday, Jun 17",TOR,2015,NYM,8.0,0.0,W,3.0
"Thursday, Jun 18",TOR,2015,NYM,7.0,1.0,W,3.0
"Friday, Jun 19",TOR,2015,BAL,5.0,4.0,W,3.0
"Saturday, Jun 20",TOR,2015,BAL,3.0,5.0,L,3.0
"Sunday, Jun 21",TOR,2015,BAL,9.0,13.0,L,3.0
"Monday, Jun 22",TOR,2015,TBR,8.0,5.0,W,3.0
"Tuesday, Jun 23",TOR,2015,TBR,3.0,4.0,L,4.0
"Wednesday, Jun 24",TOR,2015,TBR,1.0,0.0,W,3.0
"Friday, Jun 26",TOR,2015,TEX,12.0,2.0,W,3.0
"Saturday, Jun 27",TOR,2015,TEX,0.0,4.0,L,4.0
"Sunday, Jun 28",TOR,2015,TEX,3.0,2.0,W,4.0
"Monday, Jun 29",TOR,2015,BOS,1.0,3.0,L,4.0
"Tuesday, Jun 30",TOR,2015,BOS,3.0,4.0,L,4.0
"Wednesday, Jul 1",TOR,2015,BOS,11.0,2.0,W,3.0
"Thursday, Jul 2",TOR,2015,BOS,6.0,12.0,L,3.0
"Friday, Jul 3",TOR,2015,DET,6.0,8.0,L,3.0
"Saturday, Jul 4",TOR,2015,DET,3.0,8.0,L,3.0
"Sunday, Jul 5",TOR,2015,DET,10.0,5.0,W,3.0
"Monday, Jul 6",TOR,2015,CHW,2.0,4.0,L,4.0
"Tuesday, Jul 7",TOR,2015,CHW,2.0,1.0,W,2.0
"Wednesday, Jul 8",TOR,2015,CHW,6.0,7.0,L-wo,2.0
"Thursday, Jul 9",TOR,2015,CHW,0.0,2.0,L,3.0
"Friday, Jul 10",TOR,2015,KCR,0.0,3.0,L,3.0
"Saturday, Jul 11",TOR,2015,KCR,6.0,2.0,W,3.0
"Sunday, Jul 12",TOR,2015,KCR,10.0,11.0,L,4.0
"Friday, Jul 17",TOR,2015,TBR,6.0,2.0,W,2.0
"Saturday, Jul 18",TOR,2015,TBR,2.0,3.0,L,4.0
"Sunday, Jul 19",TOR,2015,TBR,4.0,0.0,W,3.0
"Tuesday, Jul 21",TOR,2015,OAK,7.0,1.0,W,2.0
"Wednesday, Jul 22",TOR,2015,OAK,3.0,4.0,L-wo,2.0
"Thursday, Jul 23",TOR,2015,OAK,5.0,2.0,W,2.0
"Friday, Jul 24",TOR,2015,SEA,2.0,5.0,L,2.0
"Saturday, Jul 25",TOR,2015,SEA,8.0,6.0,W,2.0
"Sunday, Jul 26",TOR,2015,SEA,5.0,6.0,L-wo,2.0
"Tuesday, Jul 28",TOR,2015,PHI,2.0,3.0,L,4.0
"Wednesday, Jul 29",TOR,2015,PHI,8.0,2.0,W,3.0
"Thursday, Jul 30",TOR,2015,KCR,5.0,2.0,W,2.0
"Friday, Jul 31",TOR,2015,KCR,7.0,6.0,W-wo,2.0
"Saturday, Aug 1",TOR,2015,KCR,6.0,7.0,L,3.0
"Sunday, Aug 2",TOR,2015,KCR,5.0,2.0,W,2.0
"Monday, Aug 3",TOR,2015,MIN,5.0,1.0,W,2.0
"Tuesday, Aug 4",TOR,2015,MIN,3.0,1.0,W,2.0
"Wednesday, Aug 5",TOR,2015,MIN,9.0,7.0,W,2.0
"Thursday, Aug 6",TOR,2015,MIN,9.0,3.0,W,2.0
"Friday, Aug 7",TOR,2015,NYY,2.0,1.0,W,2.0
"Saturday, Aug 8",TOR,2015,NYY,6.0,0.0,W,2.0
"Sunday, Aug 9",TOR,2015,NYY,2.0,0.0,W,2.0
"Tuesday, Aug 11",TOR,2015,OAK,4.0,2.0,W,2.0
"Wednesday, Aug 12",TOR,2015,OAK,10.0,3.0,W,1.0
"Thursday, Aug 13",TOR,2015,OAK,4.0,2.0,W,1.0
"Friday, Aug 14",TOR,2015,NYY,3.0,4.0,L,2.0
"Saturday, Aug 15",TOR,2015,NYY,1.0,4.0,L,2.0
"Sunday, Aug 16",TOR,2015,NYY,3.0,1.0,W,2.0
"Tuesday, Aug 18",TOR,2015,PHI,8.0,5.0,W,2.0
"Wednesday, Aug 19",TOR,2015,PHI,4.0,7.0,L,2.0
"Friday, Aug 21",TOR,2015,LAA,9.0,2.0,W,2.0
"Saturday, Aug 22",TOR,2015,LAA,15.0,3.0,W,2.0
"Sunday, Aug 23",TOR,2015,LAA,12.0,5.0,W,1.0
"Tuesday, Aug 25",TOR,2015,TEX,6.0,5.0,W,1.0
"Wednesday, Aug 26",TOR,2015,TEX,12.0,4.0,W,1.0
"Thursday, Aug 27",TOR,2015,TEX,1.0,4.0,L,1.0
"Friday, Aug 28",TOR,2015,DET,5.0,3.0,W,1.0
"Saturday, Aug 29",TOR,2015,DET,15.0,1.0,W,1.0
"Sunday, Aug 30",TOR,2015,DET,9.0,2.0,W,1.0
"Monday, Aug 31",TOR,2015,CLE,2.0,4.0,L,1.0
"Tuesday, Sep 1",TOR,2015,CLE,5.0,3.0,W-wo,1.0
"Wednesday, Sep 2",TOR,2015,CLE,5.0,1.0,W,1.0
"Friday, Sep 4",TOR,2015,BAL,2.0,10.0,L,1.0
"Saturday, Sep 5",TOR,2015,BAL,5.0,1.0,W,1.0
"Sunday, Sep 6",TOR,2015,BAL,10.0,4.0,W,1.0
"Monday, Sep 7",TOR,2015,BOS,4.0,11.0,L,1.0
"Tuesday, Sep 8",TOR,2015,BOS,5.0,1.0,W,1.0
"Wednesday, Sep 9",TOR,2015,BOS,4.0,10.0,L,1.0
"Friday, Sep 11",TOR,2015,NYY,11.0,5.0,W,1.0
"Saturday, Sep 12 (1)",TOR,2015,NYY,9.0,5.0,W,1.0
"Saturday, Sep 12 (2)",TOR,2015,NYY,10.0,7.0,W,1.0
"Sunday, Sep 13",TOR,2015,NYY,0.0,5.0,L,1.0
"Tuesday, Sep 15",TOR,2015,ATL,2.0,3.0,L-wo,1.0
"Wednesday, Sep 16",TOR,2015,ATL,9.0,1.0,W,1.0
"Thursday, Sep 17",TOR,2015,ATL,5.0,0.0,W,1.0
"Friday, Sep 18",TOR,2015,BOS,6.0,1.0,W,1.0
"Saturday, Sep 19",TOR,2015,BOS,6.0,7.0,L,1.0
"Sunday, Sep 20",TOR,2015,BOS,3.0,4.0,L,1.0
"Monday, Sep 21",TOR,2015,NYY,4.0,2.0,W,1.0
"Tuesday, Sep 22",TOR,2015,NYY,4.0,6.0,L,1.0
"Wednesday, Sep 23",TOR,2015,NYY,4.0,0.0,W,1.0
"Friday, Sep 25",TOR,2015,TBR,5.0,3.0,W,1.0
"Saturday, Sep 26",TOR,2015,TBR,10.0,8.0,W,1.0
"Sunday, Sep 27",TOR,2015,TBR,5.0,4.0,W-wo,1.0
"Monday, Sep 28",TOR,2015,BAL,4.0,3.0,W,1.0
"Wednesday, Sep 30 (1)",TOR,2015,BAL,15.0,2.0,W,1.0
"Wednesday, Sep 30 (2)",TOR,2015,BAL,1.0,8.0,L,1.0
"Thursday, Oct 1",TOR,2015,BAL,4.0,6.0,L,1.0
"Friday, Oct 2",TOR,2015,TBR,8.0,4.0,W,1.0
"Saturday, Oct 3",TOR,2015,TBR,3.0,4.0,L-wo,1.0
"Sunday, Oct 4",TOR,2015,TBR,3.0,12.0,L,1.0
"Monday, Apr 6",HOU,2015,CLE,2.0,0.0,W,1.0
"Wednesday, Apr 8",HOU,2015,CLE,0.0,2.0,L,3.0
"Thursday, Apr 9",HOU,2015,CLE,1.0,5.0,L,4.0
"Friday, Apr 10",HOU,2015,TEX,5.0,1.0,W,2.0
"Saturday, Apr 11",HOU,2015,TEX,2.0,6.0,L,3.0
"Sunday, Apr 12",HOU,2015,TEX,6.0,4.0,W,1.0
"Monday, Apr 13",HOU,2015,OAK,1.0,8.0,L,2.0
"Tuesday, Apr 14",HOU,2015,OAK,0.0,4.0,L,3.0
"Wednesday, Apr 15",HOU,2015,OAK,6.0,1.0,W,2.0
"Friday, Apr 17",HOU,2015,LAA,3.0,6.0,L,4.0
"Saturday, Apr 18",HOU,2015,LAA,4.0,0.0,W,2.0
"Sunday, Apr 19",HOU,2015,LAA,4.0,3.0,W,1.0
"Monday, Apr 20",HOU,2015,SEA,7.0,5.0,W,1.0
"Tuesday, Apr 21",HOU,2015,SEA,6.0,3.0,W,1.0
"Wednesday, Apr 22",HOU,2015,SEA,2.0,3.0,L,1.0
"Friday, Apr 24",HOU,2015,OAK,5.0,4.0,W,1.0
"Saturday, Apr 25",HOU,2015,OAK,9.0,3.0,W,1.0
"Sunday, Apr 26",HOU,2015,OAK,7.0,6.0,W,1.0
"Monday, Apr 27",HOU,2015,SDP,9.0,4.0,W,1.0
"Tuesday, Apr 28",HOU,2015,SDP,14.0,3.0,W,1.0
"Wednesday, Apr 29",HOU,2015,SDP,7.0,2.0,W,1.0
"Thursday, Apr 30",HOU,2015,SEA,3.0,2.0,W-wo,1.0
"Friday, May 1",HOU,2015,SEA,4.0,3.0,W,1.0
"Saturday, May 2",HOU,2015,SEA,11.0,4.0,W,1.0
"Sunday, May 3",HOU,2015,SEA,7.0,6.0,W,1.0
"Monday, May 4",HOU,2015,TEX,1.0,2.0,L,1.0
"Tuesday, May 5",HOU,2015,TEX,1.0,7.0,L,1.0
"Wednesday, May 6",HOU,2015,TEX,3.0,11.0,L,1.0
"Thursday, May 7",HOU,2015,LAA,3.0,2.0,W,1.0
"Friday, May 8",HOU,2015,LAA,0.0,2.0,L,1.0
"Saturday, May 9",HOU,2015,LAA,6.0,5.0,W,1.0
"Sunday, May 10",HOU,2015,LAA,1.0,3.0,L,1.0
"Tuesday, May 12",HOU,2015,SFG,1.0,8.0,L,1.0
"Wednesday, May 13",HOU,2015,SFG,4.0,3.0,W,1.0
"Thursday, May 14",HOU,2015,TOR,6.0,4.0,W,1.0
"Friday, May 15",HOU,2015,TOR,8.0,4.0,W,1.0
"Saturday, May 16",HOU,2015,TOR,6.0,5.0,W,1.0
"Sunday, May 17",HOU,2015,TOR,4.0,2.0,W,1.0
"Monday, May 18",HOU,2015,OAK,1.0,2.0,L,1.0
"Tuesday, May 19",HOU,2015,OAK,6.0,4.0,W,1.0
"Wednesday, May 20",HOU,2015,OAK,6.0,1.0,W,1.0
"Thursday, May 21",HOU,2015,DET,5.0,6.0,L-wo,1.0
"Friday, May 22",HOU,2015,DET,2.0,6.0,L,1.0
"Saturday, May 23",HOU,2015,DET,3.0,2.0,W,1.0
"Sunday, May 24",HOU,2015,DET,10.0,8.0,W,1.0
"Monday, May 25",HOU,2015,BAL,3.0,4.0,L,1.0
"Tuesday, May 26",HOU,2015,BAL,4.0,1.0,W,1.0
"Wednesday, May 27",HOU,2015,BAL,4.0,5.0,L,1.0
"Friday, May 29",HOU,2015,CHW,3.0,6.0,L,1.0
"Saturday, May 30",HOU,2015,CHW,3.0,0.0,W,1.0
"Sunday, May 31",HOU,2015,CHW,0.0,6.0,L,1.0
"Monday, Jun 1",HOU,2015,BAL,5.0,2.0,W,1.0
"Tuesday, Jun 2",HOU,2015,BAL,6.0,4.0,W,1.0
"Wednesday, Jun 3",HOU,2015,BAL,3.0,1.0,W,1.0
"Thursday, Jun 4",HOU,2015,BAL,2.0,3.0,L,1.0
"Friday, Jun 5",HOU,2015,TOR,2.0,6.0,L,1.0
"Saturday, Jun 6",HOU,2015,TOR,2.0,7.0,L,1.0
"Sunday, Jun 7",HOU,2015,TOR,6.0,7.0,L-wo,1.0
"Monday, Jun 8",HOU,2015,CHW,1.0,3.0,L,1.0
"Tuesday, Jun 9",HOU,2015,CHW,2.0,4.0,L,1.0
"Wednesday, Jun 10",HOU,2015,CHW,1.0,4.0,L,1.0
"Friday, Jun 12",HOU,2015,SEA,10.0,0.0,W,1.0
"Saturday, Jun 13",HOU,2015,SEA,1.0,8.0,L,1.0
"Sunday, Jun 14",HOU,2015,SEA,13.0,0.0,W,1.0
"Monday, Jun 15",HOU,2015,COL,6.0,3.0,W,1.0
"Tuesday, Jun 16",HOU,2015,COL,8.0,5.0,W,1.0
"Wednesday, Jun 17",HOU,2015,COL,8.0,4.0,W,1.0
"Thursday, Jun 18",HOU,2015,COL,8.0,4.0,W,1.0
"Friday, Jun 19",HOU,2015,SEA,2.0,5.0,L,1.0
"Saturday, Jun 20",HOU,2015,SEA,3.0,6.0,L,1.0
"Sunday, Jun 21",HOU,2015,SEA,6.0,2.0,W,1.0
"Monday, Jun 22",HOU,2015,LAA,3.0,4.0,L,1.0
"Tuesday, Jun 23",HOU,2015,LAA,13.0,3.0,W,1.0
"Wednesday, Jun 24",HOU,2015,LAA,1.0,2.0,L-wo,1.0
"Thursday, Jun 25",HOU,2015,NYY,4.0,0.0,W,1.0
"Friday, Jun 26",HOU,2015,NYY,2.0,3.0,L,1.0
"Saturday, Jun 27",HOU,2015,NYY,6.0,9.0,L,1.0
"Sunday, Jun 28",HOU,2015,NYY,3.0,1.0,W,1.0
"Monday, Jun 29",HOU,2015,KCR,6.0,1.0,W,1.0
"Tuesday, Jun 30",HOU,2015,KCR,4.0,0.0,W,1.0
"Wednesday, Jul 1",HOU,2015,KCR,6.0,5.0,W,1.0
"Friday, Jul 3",HOU,2015,BOS,12.0,8.0,W,1.0
"Saturday, Jul 4",HOU,2015,BOS,1.0,6.0,L,1.0
"Sunday, Jul 5",HOU,2015,BOS,4.0,5.0,L,1.0
"Monday, Jul 6",HOU,2015,CLE,9.0,4.0,W,1.0
"Tuesday, Jul 7",HOU,2015,CLE,0.0,2.0,L,1.0
"Wednesday, Jul 8",HOU,2015,CLE,2.0,4.0,L,1.0
"Thursday, Jul 9",HOU,2015,CLE,1.0,3.0,L,1.0
"Friday, Jul 10",HOU,2015,TBR,1.0,3.0,L,1.0
"Saturday, Jul 11",HOU,2015,TBR,0.0,3.0,L,1.0
"Sunday, Jul 12",HOU,2015,TBR,3.0,4.0,L,2.0
"Friday, Jul 17",HOU,2015,TEX,3.0,2.0,W,2.0
"Saturday, Jul 18",HOU,2015,TEX,6.0,7.0,L,2.0
"Sunday, Jul 19",HOU,2015,TEX,10.0,0.0,W,2.0
"Tuesday, Jul 21",HOU,2015,BOS,8.0,3.0,W,2.0
"Wednesday, Jul 22",HOU,2015,BOS,4.0,2.0,W,2.0
"Thursday, Jul 23",HOU,2015,BOS,5.0,4.0,W-wo,2.0
"Friday, Jul 24",HOU,2015,KCR,4.0,0.0,W,1.0
"Saturday, Jul 25",HOU,2015,KCR,1.0,2.0,L-wo,1.0
"Sunday, Jul 26",HOU,2015,KCR,1.0,5.0,L,2.0
"Tuesday, Jul 28",HOU,2015,LAA,10.0,5.0,W,1.0
"Wednesday, Jul 29",HOU,2015,LAA,6.0,3.0,W,1.0
"Thursday, Jul 30",HOU,2015,LAA,3.0,0.0,W-wo,1.0
"Friday, Jul 31",HOU,2015,ARI,4.0,6.0,L,1.0
"Saturday, Aug 1",HOU,2015,ARI,9.0,2.0,W,1.0
"Sunday, Aug 2",HOU,2015,ARI,4.0,1.0,W,1.0
"Monday, Aug 3",HOU,2015,TEX,9.0,12.0,L,1.0
"Tuesday, Aug 4",HOU,2015,TEX,3.0,4.0,L,1.0
"Wednesday, Aug 5",HOU,2015,TEX,3.0,4.0,L,1.0
"Thursday, Aug 6",HOU,2015,OAK,5.0,4.0,W,1.0
"Friday, Aug 7",HOU,2015,OAK,1.0,3.0,L,1.0
"Saturday, Aug 8",HOU,2015,OAK,1.0,2.0,L,1.0
"Sunday, Aug 9",HOU,2015,OAK,4.0,5.0,L-wo,1.0
"Tuesday, Aug 11",HOU,2015,SFG,1.0,3.0,L,1.0
"Wednesday, Aug 12",HOU,2015,SFG,2.0,0.0,W,1.0
"Friday, Aug 14",HOU,2015,DET,5.0,1.0,W,1.0
"Saturday, Aug 15",HOU,2015,DET,2.0,4.0,L,1.0
"Sunday, Aug 16",HOU,2015,DET,6.0,5.0,W-wo,1.0
"Monday, Aug 17",HOU,2015,TBR,2.0,9.0,L,1.0
"Tuesday, Aug 18",HOU,2015,TBR,3.0,2.0,W-wo,1.0
"Wednesday, Aug 19",HOU,2015,TBR,3.0,2.0,W-wo,1.0
"Thursday, Aug 20",HOU,2015,TBR,0.0,1.0,L,1.0
"Friday, Aug 21",HOU,2015,LAD,3.0,0.0,W,1.0
"Saturday, Aug 22",HOU,2015,LAD,3.0,1.0,W,1.0
"Sunday, Aug 23",HOU,2015,LAD,3.0,2.0,W-wo,1.0
"Monday, Aug 24",HOU,2015,NYY,0.0,1.0,L-wo,1.0
"Tuesday, Aug 25",HOU,2015,NYY,15.0,1.0,W,1.0
"Wednesday, Aug 26",HOU,2015,NYY,6.0,2.0,W,1.0
"Friday, Aug 28",HOU,2015,MIN,0.0,3.0,L,1.0
"Saturday, Aug 29",HOU,2015,MIN,4.0,1.0,W,1.0
"Sunday, Aug 30",HOU,2015,MIN,5.0,7.0,L,1.0
"Monday, Aug 31",HOU,2015,SEA,8.0,3.0,W,1.0
"Tuesday, Sep 1",HOU,2015,SEA,5.0,7.0,L,1.0
"Wednesday, Sep 2",HOU,2015,SEA,3.0,8.0,L,1.0
"Friday, Sep 4",HOU,2015,MIN,8.0,0.0,W,1.0
"Saturday, Sep 5",HOU,2015,MIN,2.0,3.0,L,1.0
"Sunday, Sep 6",HOU,2015,MIN,8.0,5.0,W,1.0
"Monday, Sep 7",HOU,2015,OAK,9.0,10.0,L,1.0
"Tuesday, Sep 8",HOU,2015,OAK,0.0,4.0,L,1.0
"Wednesday, Sep 9",HOU,2015,OAK,11.0,5.0,W,1.0
"Friday, Sep 11",HOU,2015,LAA,2.0,3.0,L,1.0
"Saturday, Sep 12",HOU,2015,LAA,2.0,3.0,L,1.0
"Sunday, Sep 13",HOU,2015,LAA,5.0,3.0,W,1.0
"Monday, Sep 14",HOU,2015,TEX,3.0,5.0,L,1.0
"Tuesday, Sep 15",HOU,2015,TEX,5.0,6.0,L-wo,2.0
"Wednesday, Sep 16",HOU,2015,TEX,3.0,14.0,L,2.0
"Thursday, Sep 17",HOU,2015,TEX,2.0,8.0,L,2.0
"Friday, Sep 18",HOU,2015,OAK,3.0,4.0,L,2.0
"Saturday, Sep 19",HOU,2015,OAK,10.0,6.0,W,2.0
"Sunday, Sep 20",HOU,2015,OAK,5.0,1.0,W,2.0
"Monday, Sep 21",HOU,2015,LAA,6.0,3.0,W,2.0
"Tuesday, Sep 22",HOU,2015,LAA,3.0,4.0,L,2.0
"Wednesday, Sep 23",HOU,2015,LAA,5.0,6.0,L,2.0
"Friday, Sep 25",HOU,2015,TEX,2.0,6.0,L,2.0
"Saturday, Sep 26",HOU,2015,TEX,9.0,7.0,W,2.0
"Sunday, Sep 27",HOU,2015,TEX,4.0,2.0,W,2.0
"Monday, Sep 28",HOU,2015,SEA,3.0,2.0,W,2.0
"Tuesday, Sep 29",HOU,2015,SEA,4.0,6.0,L,3.0
"Wednesday, Sep 30",HOU,2015,SEA,7.0,6.0,W,2.0
"Friday, Oct 2",HOU,2015,ARI,21.0,5.0,W,2.0
"Saturday, Oct 3",HOU,2015,ARI,6.0,2.0,W,2.0
"Sunday, Oct 4",HOU,2015,ARI,3.0,5.0,L,2.0
"Monday, Apr 6",DET,2015,MIN,4.0,0.0,W,1.0
"Wednesday, Apr 8",DET,2015,MIN,11.0,0.0,W,1.0
"Thursday, Apr 9",DET,2015,MIN,7.0,1.0,W,1.0
"Friday, Apr 10",DET,2015,CLE,8.0,4.0,W,1.0
"Saturday, Apr 11",DET,2015,CLE,9.0,6.0,W,1.0
"Sunday, Apr 12",DET,2015,CLE,8.0,5.0,W,1.0
"Monday, Apr 13",DET,2015,PIT,4.0,5.0,L,2.0
"Tuesday, Apr 14",DET,2015,PIT,2.0,0.0,W,2.0
"Wednesday, Apr 15",DET,2015,PIT,1.0,0.0,W,1.0
"Friday, Apr 17",DET,2015,CHW,2.0,1.0,W-wo,1.0
"Saturday, Apr 18",DET,2015,CHW,3.0,12.0,L,1.0
"Sunday, Apr 19",DET,2015,CHW,9.0,1.0,W,1.0
"Monday, Apr 20",DET,2015,NYY,2.0,1.0,W,1.0
"Tuesday, Apr 21",DET,2015,NYY,2.0,5.0,L,1.0
"Wednesday, Apr 22",DET,2015,NYY,4.0,13.0,L,1.0
"Thursday, Apr 23",DET,2015,NYY,1.0,2.0,L,2.0
"Friday, Apr 24",DET,2015,CLE,1.0,13.0,L,2.0
"Saturday, Apr 25",DET,2015,CLE,4.0,1.0,W,2.0
"Sunday, Apr 26",DET,2015,CLE,8.0,6.0,W,1.0
"Monday, Apr 27",DET,2015,MIN,5.0,4.0,W,1.0
"Tuesday, Apr 28",DET,2015,MIN,2.0,3.0,L,2.0
"Wednesday, Apr 29",DET,2015,MIN,10.0,7.0,W,1.0
"Thursday, Apr 30",DET,2015,KCR,1.0,8.0,L,2.0
"Friday, May 1",DET,2015,KCR,1.0,4.0,L,2.0
"Saturday, May 2",DET,2015,KCR,2.0,1.0,W,2.0
"Sunday, May 3",DET,2015,KCR,6.0,4.0,W,1.0
"Tuesday, May 5",DET,2015,CHW,2.0,5.0,L,2.0
"Wednesday, May 6",DET,2015,CHW,6.0,7.0,L,2.0
"Thursday, May 7",DET,2015,CHW,4.0,1.0,W,2.0
"Friday, May 8",DET,2015,KCR,6.0,5.0,W-wo,1.0
"Saturday, May 9",DET,2015,KCR,2.0,6.0,L,2.0
"Sunday, May 10",DET,2015,KCR,1.0,2.0,L,2.0
"Tuesday, May 12",DET,2015,MIN,2.0,1.0,W-wo,2.0
"Wednesday, May 13",DET,2015,MIN,2.0,6.0,L,2.0
"Thursday, May 14",DET,2015,MIN,13.0,1.0,W,2.0
"Friday, May 15",DET,2015,STL,10.0,4.0,W,2.0
"Saturday, May 16",DET,2015,STL,4.0,3.0,W,1.0
"Sunday, May 17",DET,2015,STL,1.0,2.0,L,2.0
"Monday, May 18",DET,2015,MIL,2.0,3.0,L,2.0
"Tuesday, May 19",DET,2015,MIL,1.0,8.0,L,2.0
"Wednesday, May 20",DET,2015,MIL,5.0,2.0,W,2.0
"Thursday, May 21",DET,2015,HOU,6.0,5.0,W-wo,2.0
"Friday, May 22",DET,2015,HOU,6.0,2.0,W,2.0
"Saturday, May 23",DET,2015,HOU,2.0,3.0,L,2.0
"Sunday, May 24",DET,2015,HOU,8.0,10.0,L,2.0
"Monday, May 25",DET,2015,OAK,0.0,4.0,L,3.0
"Tuesday, May 26",DET,2015,OAK,1.0,0.0,W,3.0
"Wednesday, May 27",DET,2015,OAK,3.0,2.0,W,3.0
"Thursday, May 28",DET,2015,LAA,2.0,12.0,L,3.0
"Friday, May 29",DET,2015,LAA,0.0,2.0,L,3.0
"Saturday, May 30",DET,2015,LAA,6.0,8.0,L,3.0
"Sunday, May 31",DET,2015,LAA,2.0,4.0,L,3.0
"Tuesday, Jun 2",DET,2015,OAK,3.0,5.0,L,3.0
"Wednesday, Jun 3",DET,2015,OAK,1.0,6.0,L,3.0
"Thursday, Jun 4",DET,2015,OAK,5.0,7.0,L,3.0
"Friday, Jun 5",DET,2015,CHW,3.0,4.0,L-wo,3.0
